Alt,Time,Lat,Lon
4135.91, 2019/11/16 21:29:2.0,43.800041,-120.649986
4136.73, 2019/11/16 21:29:4.0,43.800041,-120.649986
4136.11, 2019/11/16 21:29:5.0,43.800041,-120.649986
4134.68, 2019/11/16 21:29:7.0,43.800041,-120.649986
4136.11, 2019/11/16 21:29:9.0,43.800041,-120.649986
4136.11, 2019/11/16 21:29:11.0,43.800041,-120.649986
4136.52, 2019/11/16 21:29:13.0,43.800041,-120.649986
4135.5, 2019/11/16 21:29:14.0,43.800041,-120.649986
4135.91, 2019/11/16 21:29:16.0,43.800041,-120.649986
4135.91, 2019/11/16 21:29:18.0,43.800041,-120.649986
4135.91, 2019/11/16 21:29:20.0,43.800041,-120.649986
4135.91, 2019/11/16 21:29:22.0,43.800041,-120.649986
4135.91, 2019/11/16 21:29:23.0,43.800041,-120.649986
4136.32, 2019/11/16 21:29:25.0,43.800041,-120.649986
4136.93, 2019/11/16 21:29:27.0,43.800041,-120.649986
4135.5, 2019/11/16 21:29:29.0,43.800041,-120.649986
4136.11, 2019/11/16 21:29:31.0,43.800041,-120.649986
4136.32, 2019/11/16 21:29:32.0,43.800041,-120.649986
4136.73, 2019/11/16 21:29:34.0,43.800041,-120.649986
4136.73, 2019/11/16 21:29:36.0,43.800041,-120.649986
4137.55, 2019/11/16 21:29:38.0,43.800041,-120.649986
4447.38, 2019/11/16 21:29:40.0,43.799973,-120.649918
4942.59, 2019/11/16 21:29:41.0,43.799953,-120.649918
5354.74, 2019/11/16 21:29:43.0,43.800121,-120.650024
5649.61, 2019/11/16 21:29:45.0,43.799854,-120.649986
5856.3, 2019/11/16 21:29:47.0,43.799534,-120.650002
5930.94, 2019/11/16 21:29:49.0,43.799526,-120.649994
5935.86, 2019/11/16 21:29:50.0,43.799427,-120.649956
5833.95, 2019/11/16 21:29:52.0,43.799343,-120.649956
5759.51, 2019/11/16 21:29:54.0,43.799465,-120.649925
5662.73, 2019/11/16 21:29:56.0,43.799507,-120.649849
5531.29, 2019/11/16 21:29:58.0,43.799519,-120.649712
5428.35, 2019/11/16 21:29:59.0,43.799538,-120.649673
5326.03, 2019/11/16 21:30:1.0,43.799591,-120.649696
5205.87, 2019/11/16 21:30:3.0,43.799633,-120.649696
5102.12, 2019/11/16 21:30:5.0,43.799767,-120.649712
5017.22, 2019/11/16 21:30:7.0,43.799896,-120.649765
4898.5, 2019/11/16 21:30:8.0,43.799953,-120.649818
4775.67, 2019/11/16 21:30:10.0,43.799976,-120.649826
4688.53, 2019/11/16 21:30:12.0,43.800011,-120.649796
4621.47, 2019/11/16 21:30:14.0,43.800072,-120.649719
4603.43, 2019/11/16 21:30:16.0,43.800247,-120.649773
4576.36, 2019/11/16 21:30:17.0,43.800266,-120.649765
4553.4, 2019/11/16 21:30:19.0,43.800365,-120.649887
4545.81, 2019/11/16 21:30:21.0,43.800373,-120.64991
4528.38, 2019/11/16 21:30:23.0,43.800453,-120.650017
4511.15, 2019/11/16 21:30:25.0,43.800526,-120.650093
4482.04, 2019/11/16 21:30:27.0,43.800636,-120.650177
4458.87, 2019/11/16 21:30:29.0,43.800724,-120.650269
4434.67, 2019/11/16 21:30:31.0,43.80072,-120.650322
4406.58, 2019/11/16 21:30:32.0,43.800694,-120.650291
4391.61, 2019/11/16 21:30:34.0,43.80069,-120.650261
4362.7, 2019/11/16 21:30:36.0,43.800697,-120.65023
4338.5, 2019/11/16 21:30:38.0,43.80072,-120.650169
4326.81, 2019/11/16 21:30:39.0,43.800743,-120.650139
4306.31, 2019/11/16 21:30:41.0,43.800793,-120.650047
4271.86, 2019/11/16 21:30:43.0,43.800888,-120.649971
4241.51, 2019/11/16 21:30:45.0,43.801006,-120.649902
4216.29, 2019/11/16 21:30:47.0,43.801144,-120.649879
4191.27, 2019/11/16 21:30:48.0,43.801208,-120.649857
4163.39, 2019/11/16 21:30:50.0,43.8013,-120.64978
4153.54, 2019/11/16 21:30:52.0,43.801338,-120.649704
4128.53, 2019/11/16 21:30:54.0,43.801353,-120.649658
4127.09, 2019/11/16 21:30:56.0,43.801365,-120.649658
4127.5, 2019/11/16 21:30:58.0,43.801365,-120.649666
4128.53, 2019/11/16 21:30:59.0,43.801365,-120.649666
4128.53, 2019/11/16 21:31:1.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:3.0,43.801365,-120.649666
4127.91, 2019/11/16 21:31:5.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:6.0,43.801365,-120.649666
4127.71, 2019/11/16 21:31:8.0,43.801365,-120.649666
4127.09, 2019/11/16 21:31:10.0,43.801365,-120.649666
4127.91, 2019/11/16 21:31:12.0,43.801365,-120.649666
4128.12, 2019/11/16 21:31:14.0,43.801365,-120.649666
4127.71, 2019/11/16 21:31:15.0,43.801365,-120.649666
4127.71, 2019/11/16 21:31:17.0,43.801365,-120.649666
4128.53, 2019/11/16 21:31:19.0,43.801365,-120.649666
4126.89, 2019/11/16 21:31:21.0,43.801365,-120.649666
4126.89, 2019/11/16 21:31:23.0,43.801365,-120.649666
4128.32, 2019/11/16 21:31:24.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:26.0,43.801365,-120.649666
4127.71, 2019/11/16 21:31:28.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:30.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:32.0,43.801365,-120.649666
4127.3, 2019/11/16 21:31:33.0,43.801365,-120.649666
4126.89, 2019/11/16 21:31:35.0,43.801365,-120.649666
4127.3, 2019/11/16 21:31:37.0,43.801365,-120.649666
4128.73, 2019/11/16 21:31:39.0,43.801365,-120.649666
4127.09, 2019/11/16 21:31:41.0,43.801365,-120.649666
4127.71, 2019/11/16 21:31:42.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:44.0,43.801365,-120.649666
4126.89, 2019/11/16 21:31:46.0,43.801365,-120.649666
4127.09, 2019/11/16 21:31:48.0,43.801365,-120.649666
4127.09, 2019/11/16 21:31:50.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:51.0,43.801365,-120.649666
4127.91, 2019/11/16 21:31:53.0,43.801365,-120.649666
4127.5, 2019/11/16 21:31:55.0,43.801365,-120.649666
4127.3, 2019/11/16 21:31:57.0,43.801365,-120.649666
4128.32, 2019/11/16 21:31:59.0,43.801365,-120.649666
4128.32, 2019/11/16 21:32:0.0,43.801365,-120.649666
4128.53, 2019/11/16 21:32:2.0,43.801365,-120.649666
4126.89, 2019/11/16 21:32:4.0,43.801365,-120.649666
4126.07, 2019/11/16 21:32:6.0,43.801365,-120.649666
4126.89, 2019/11/16 21:32:8.0,43.801365,-120.649666
4127.3, 2019/11/16 21:32:9.0,43.801365,-120.649666
4127.09, 2019/11/16 21:32:11.0,43.801365,-120.649666
4127.5, 2019/11/16 21:32:13.0,43.801365,-120.649666
4127.09, 2019/11/16 21:32:15.0,43.801365,-120.649666
