948,4357.16,2020/2/22 16:44:0.0,43.799084,-120.650261,1.22,0.14,0.43,253
Calculated 253
Initialized
1105,4354.08,2020/2/22 16:47:49.0,43.799065,-120.650269,1.00,0.14,-0.14,139
1106,4352.85,2020/2/22 16:47:51.0,43.799068,-120.650269,0.78,0.14,0.43,110
1107,4355.52,2020/2/22 16:47:52.0,43.799065,-120.650261,1.67,0.14,-0.14,140
1108,4353.88,2020/2/22 16:47:54.0,43.799065,-120.650269,1.22,0.14,0.14,104
1109,4354.49,2020/2/22 16:47:55.0,43.799065,-120.650269,0.11,-0.14,1.00,142
1110,4354.08,2020/2/22 16:47:57.0,43.799061,-120.650261,0.33,0.14,0.71,85
1111,4353.26,2020/2/22 16:47:58.0,43.799061,-120.650269,0.11,0.14,0.43,89
1112,4352.65,2020/2/22 16:48:0.0,43.799057,-120.650269,0.33,0.43,0.14,41
1113,4354.70,2020/2/22 16:48:1.0,43.799057,-120.650276,0.11,0.14,0.71,36
1114,4357.57,2020/2/22 16:48:3.0,43.799057,-120.650276,0.56,0.14,0.71,56
1115,4357.78,2020/2/22 16:48:4.0,43.799049,-120.650276,0.78,-0.43,1.00,106
1116,4355.73,2020/2/22 16:48:6.0,43.799049,-120.650276,0.33,0.43,0.14,52
1117,4356.34,2020/2/22 16:48:7.0,43.799049,-120.650276,1.00,-0.14,1.00,86
1118,4356.75,2020/2/22 16:48:9.0,43.799046,-120.650276,0.56,0.43,-0.14,107
1119,4355.93,2020/2/22 16:48:10.0,43.799042,-120.650276,0.56,0.14,0.71,99
1120,4357.98,2020/2/22 16:48:11.0,43.799046,-120.650276,1.22,-0.14,0.43,141
1121,4357.98,2020/2/22 16:48:13.0,43.799038,-120.650284,0.56,0.14,0.14,103
1122,4356.96,2020/2/22 16:48:14.0,43.799038,-120.650284,0.56,0.43,0.14,104
1123,4357.16,2020/2/22 16:48:16.0,43.799034,-120.650291,1.22,-0.14,0.43,133
1124,4357.78,2020/2/22 16:48:17.0,43.799030,-120.650291,0.78,-0.14,0.71,150
1125,4356.34,2020/2/22 16:48:19.0,43.799034,-120.650291,1.00,0.14,0.43,88
1126,4357.57,2020/2/22 16:48:20.0,43.799030,-120.650291,0.78,-0.14,0.71,143
1127,4357.37,2020/2/22 16:48:22.0,43.799030,-120.650291,0.11,0.14,0.71,86
1128,4355.11,2020/2/22 16:48:23.0,43.799030,-120.650299,1.22,-0.14,0.14,131
1129,4357.37,2020/2/22 16:48:25.0,43.799030,-120.650307,1.22,-0.14,0.71,137
1130,4354.70,2020/2/22 16:48:26.0,43.799023,-120.650307,1.22,-0.14,0.14,123
1131,4355.31,2020/2/22 16:48:28.0,43.799026,-120.650314,1.00,0.14,0.14,76
1132,4358.19,2020/2/22 16:48:29.0,43.799026,-120.650307,0.33,0.43,0.71,99
1133,4353.47,2020/2/22 16:48:31.0,43.799030,-120.650307,1.00,0.43,-0.14,121
1134,4354.08,2020/2/22 16:48:32.0,43.799030,-120.650307,0.33,0.14,0.71,82
1135,4354.08,2020/2/22 16:48:33.0,43.799034,-120.650299,0.11,0.43,0.43,95
1136,4356.55,2020/2/22 16:48:35.0,43.799030,-120.650299,0.11,0.43,0.43,98
1137,4357.37,2020/2/22 16:48:36.0,43.799030,-120.650299,0.78,0.14,0.71,113
1138,4356.55,2020/2/22 16:48:38.0,43.799038,-120.650299,0.78,0.14,0.14,120
1139,4356.14,2020/2/22 16:48:39.0,43.799042,-120.650307,1.22,-0.14,0.14,137
1140,4354.49,2020/2/22 16:48:41.0,43.799042,-120.650307,0.78,0.14,0.71,96
1141,4356.34,2020/2/22 16:48:42.0,43.799042,-120.650299,0.56,0.14,1.00,93
1142,4357.78,2020/2/22 16:48:44.0,43.799038,-120.650291,1.22,0.14,0.14,100
1143,4354.70,2020/2/22 16:48:45.0,43.799042,-120.650299,1.00,0.14,0.71,93
1144,4355.93,2020/2/22 16:48:47.0,43.799042,-120.650291,1.22,-0.14,0.43,142
1145,4355.93,2020/2/22 16:48:48.0,43.799042,-120.650276,1.22,-0.14,0.43,147
1146,4355.31,2020/2/22 16:48:50.0,43.799042,-120.650269,1.22,0.14,0.14,88
